P_NAME,P_PERIOD,S_NAME,S_DEC,S_MAG,S_MASS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_LUMINOSITY,P_TYPE_TEMP,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
Kepler-842 b,1.2195683,Kepler-842,49.653538,15.127,0.78,4848.0,0.020559465,623.96636,1273.3131,Superterran,0.73,K,0.26374535,Hot,0,0.27637083,1.60303,3.1991632,0.020559465
Kepler-843 b,2.0538798,Kepler-843,48.971478,15.269,1.02,5830.0,0.031824356,1084.2216,1461.9228,Neptunian,1.03,G,1.0980884,Hot,0,0.22785759,2.58951,7.2218056,0.031824356
Kepler-844 b,2.6130209,Kepler-844,48.774113,15.84,0.59,4128.0,0.031133083,87.207301,778.54393,Superterran,0.57,K,0.084527322,Hot,0,0.28594189,1.6815,3.4695604,0.031133083
Kepler-845 b,0.92785982,Kepler-845,49.203812,14.631,0.79,4913.0,0.017207066,991.70979,1429.6873,Superterran,0.75,K,0.29362852,Hot,0,0.25399624,2.04022,4.8178725,0.017207066
Kepler-846 b,19.807922,Kepler-846,49.046021,15.65,0.94,5579.0,0.14031738,36.506816,626.23653,Superterran,0.91,G,0.71878148,Hot,0,0.2662761,2.47741,6.6990733,0.14031738
Kepler-847 b,2.3432319,Kepler-847,49.451015,14.782,0.83,4940.0,0.032439869,300.62127,1060.8399,Terran,0.77,K,0.31635732,Hot,0,0.29523191,1.17705,1.7431784,0.032439869
Kepler-848 b,6.9113442,Kepler-848,48.811619,14.056,1.01,5695.0,0.071229248,267.4911,1030.3203,Superterran,1.2,G,1.3571444,Hot,0,0.27442067,1.70392,3.5484667,0.071229248
Kepler-850 b,7.1930388,Kepler-850,48.57539,15.451,1.06,5932.0,0.074339525,238.51003,1001.2017,Superterran,1.09,G,1.3180935,Hot,0,0.27115203,1.78239,3.8303511,0.074339525
Kepler-851 b,8.5069966,Kepler-851,49.14016,15.135,0.89,5455.0,0.078431478,93.180432,791.54587,Superterran,0.85,G,0.57319912,Hot,0,0.28495774,1.6815,3.4695604,0.078431478
Kepler-852 b,44.93098,Kepler-852,48.560692,13.949,1.19,6100.0,0.26205301,24.3078,565.69367,Neptunian,1.16,F,1.6692599,Hot,0,0.27955259,2.54467,7.010777,0.26205301
Kepler-853 b,7.1689246,Kepler-853,49.110325,12.32,1.3,6350.0,0.079395036,555.21379,1236.6875,Superterran,1.55,F,3.49983,Hot,0,0.27233217,1.69271,3.5089223,0.079395036
Kepler-855 b,7.8866311,Kepler-855,43.537586,15.014,1.03,5835.0,0.078291807,179.76035,932.86411,Jovian,1.03,G,1.1018603,Hot,0,0.10669348,8.35145,52.728897,0.078291807
Kepler-856 b,8.0276806,Kepler-856,46.314953,15.57,0.96,5535.0,0.077385577,121.45209,845.75809,Jovian,0.93,G,0.72731919,Hot,0,0.10080987,9.3043,63.344982,0.077385577
Kepler-857 b,85.351294,Kepler-857,43.400467,15.061,0.99,5773.0,0.37803155,6.8251023,411.78659,Jovian,0.99,G,0.97536073,Hot,0,0.25592549,6.80447,37.239185,0.37803155
Kepler-858 b,76.13602,Kepler-858,51.209049,12.45,0.96,5653.0,0.34673161,6.3023207,403.66401,Neptunian,0.91,G,0.7576827,Hot,0,0.30662923,4.86514,21.068495,0.34673161
