P_NAME,P_PERIOD,S_NAME,S_DEC,S_MAG,S_MASS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_LUMINOSITY,P_TYPE_TEMP,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
K2-198 c,3.3596055,K2-198,-6.464886,10.971,0.8,5212.9,0.040744132,230.19891,992.36338,Terran,0.76,K,0.3821496,Hot,0,0.28819577,1.42367,2.6154425,0.040744132
K2-198 d,7.4500177,K2-198,-6.464886,10.971,0.8,5212.9,0.06928583,79.605773,760.99368,Superterran,0.76,K,0.3821496,Hot,0,0.24941493,2.44378,6.5454121,0.06928583
K2-199 b,3.225338,K2-199,-6.136143,12.289,0.73,4648.0,0.0385,130.45162,861.00819,Superterran,0.68,K,0.19336192,Hot,0,0.27130317,1.87207,4.1632686,0.0385
K2-199 c,7.374694,K2-199,-6.136143,12.289,0.73,4648.0,0.0668,43.332927,653.65625,Neptunian,0.68,K,0.19336192,Hot,0,0.2471502,2.78008,8.1471405,0.0668
K2-200 b,2.849883,K2-200,-4.610228,12.459,0.86,5233.0,0.037401905,299.74941,1060.0699,Terran,0.79,K,0.41932018,Hot,0,0.28906653,1.36762,2.4430315,0.037401905
K2-201 b,1.05979,K2-201,-23.131035,12.809,0.96,5507.0,0.020063799,1585.2143,1607.5589,Terran,0.88,G,0.63813754,Hot,0,0.28396844,1.40125,2.5458987,0.020063799
K2-201 c,22.779878,K2-201,-23.131035,12.809,0.96,5507.0,0.15510801,26.524415,578.17108,Neptunian,0.88,G,0.63813754,Hot,0,0.24360685,3.28453,10.813157,0.15510801
K2-202 b,3.405164,K2-202,-22.407034,13.297,0.97,5491.0,0.043838816,350.96158,1102.7062,Superterran,0.91,G,0.67449263,Hot,0,0.2438342,2.29805,5.8965974,0.043838816
K2-203 b,9.695101,K2-203,-1.195891,12.353,0.79,5000.0,0.082240703,47.821393,669.96245,Terran,0.76,K,0.32344158,Hot,0,0.31302999,1.36762,2.4430315,0.082240703
K2-204 b,7.055784,K2-204,-0.51762,13.01,1.01,5755.0,0.072218234,262.38575,1025.3685,Neptunian,1.18,G,1.3684659,Hot,0,0.21229032,3.04912,9.5305061,0.072218234
K2-205 b,26.672263,K2-205,0.425996,12.391,0.95,5890.0,0.17170806,42.659521,651.10181,Superterran,1.08,G,1.2577587,Hot,0,0.28553969,1.99538,4.6394796,0.17170806
K2-206 b,18.294549,K2-206,0.593257,13.1,0.79,5043.0,0.12558364,21.222941,546.82241,Neptunian,0.76,K,0.33471232,Hot,0,0.27496967,2.79129,8.2029943,0.12558364
K2-207 b,12.48749,K2-207,0.640796,13.166,0.94,5522.0,0.10316577,67.696922,730.78082,Neptunian,0.93,G,0.72051023,Hot,0,0.24493364,2.60072,7.2749643,0.10316577
K2-208 b,4.190948,K2-208,0.889177,12.503,0.93,5582.0,0.049645366,261.02821,1024.0396,Superterran,0.86,G,0.6433464,Hot,0,0.27564363,1.6815,3.4695604,0.049645366
K2-209 b,2.080615,K2-209,1.383812,11.205,0.74,4720.0,0.028843498,269.44955,1032.201,Terran,0.71,K,0.22416786,Hot,0,0.29620393,0.86317,0.57352358,0.028843498
K2-21 b,9.325038,K2-21,-14.488987,12.85,0.68,4222.06,0.07638,20.92995,543.90016,Superterran,0.65,M,0.12028541,Hot,0,0.32428845,1.83844,4.0370889,0.076
K2-21 c,15.50192,K2-21,-14.488987,12.85,0.68,4222.06,0.10935935,10.74581,457.39868,Superterran,0.65,M,0.12028541,Hot,0,0.34025562,2.48862,6.7506189,0.107
K2-211 b,0.669558,K2-211,1.704954,13.075,0.88,5221.0,0.014350352,2173.732,1739.588,Terran,0.82,K,0.44764231,Hot,0,0.28462519,1.37883,2.4771268,0.014350352
K2-212 b,9.79551,K2-212,3.096936,13.1,0.67,4272.0,0.0785,20.459783,541.83888,Neptunian,0.65,K,0.1260783,Hot,0,0.28969334,2.52225,6.9062285,0.0785
K2-213 b,8.13087,K2-213,3.507705,11.803,1.07,5794.0,0.080921172,222.04489,983.45638,Superterran,1.2,G,1.4540023,Hot,0,0.28450558,1.51335,2.9012671,0.080921172
K2-214 b,8.596802,K2-214,4.227798,11.805,1.05,5854.0,0.0834,243.99159,1006.9053,Superterran,1.27,G,1.6970982,Hot,0,0.23910666,2.43257,6.4945178,0.0834
K2-215 b,8.269648,K2-215,6.123902,12.986,1.0,5704.0,0.080014293,139.38468,875.38413,Superterran,0.97,G,0.89238073,Hot,0,0.25825236,2.11869,5.1366839,0.080014293
K2-216 b,2.1748,K2-216,6.346971,12.476,0.7,4503.0,0.028,243.5821,1006.4826,Superterran,0.72,K,0.19096836,Hot,0,0.27270579,1.74876,7.9997308,0.028
K2-217 b,14.074524,K2-217,6.481562,12.187,1.1,5967.0,0.11774151,144.92953,883.96308,Neptunian,1.33,G,2.0091672,Hot,0,0.19698245,3.57599,12.492237,0.11774151
K2-218 b,8.679885,K2-218,6.84646,12.876,1.05,5757.0,0.083994073,142.30463,879.93313,Neptunian,1.01,G,1.0039598,Hot,0,0.23669035,2.56709,7.1159697,0.083994073
K2-219 b,3.901287,K2-219,8.86764,12.09,1.02,5753.0,0.048810682,583.35149,1252.0668,Terran,1.19,G,1.3898248,Hot,0,0.28766839,1.3452,2.3754251,0.048810682
K2-219 c,6.66767,K2-219,8.86764,12.09,1.02,5753.0,0.069773795,285.47979,1047.222,Terran,1.19,G,1.3898248,Hot,0,0.28656269,1.43488,2.6505029,0.069773795
K2-219 d,11.137278,K2-219,8.86764,12.09,1.02,5753.0,0.098226573,144.04629,882.61322,Neptunian,1.19,G,1.3898248,Hot,0,0.23607586,2.5783,7.1688075,0.098226573
K2-220 b,13.683256,K2-220,9.516806,11.89,0.96,5660.0,0.1104,78.490405,758.31396,Superterran,1.02,G,0.95665361,Hot,0,0.25229932,2.38773,6.2925768,0.1104
K2-221 b,2.399094,K2-221,10.189687,12.703,1.01,5716.0,0.03518154,697.38892,1309.2231,Superterran,0.95,G,0.86318669,Hot,0,0.27237636,1.6815,3.4695604,0.03518154
K2-222 b,15.387063,K2-222,11.753423,9.543,1.0,6058.0,0.1211,97.76208,801.10145,Superterran,1.09,F,1.4337014,Hot,0,0.2490976,2.38773,6.2925768,0.1211
K2-223 c,4.56327,K2-223,-10.282037,11.431,1.06,5835.0,0.0549,337.73634,1092.1678,Superterran,0.99,G,1.0179407,Hot,0,0.27981377,1.5694,3.086051,0.0549
K2-224 b,4.47904,K2-224,-10.060654,12.682,0.91,5620.0,0.0516,236.86074,999.46636,Superterran,0.84,G,0.63065593,Hot,0,0.28206402,1.55819,3.0487196,0.0516
K2-224 c,10.09489,K2-224,-10.060654,12.682,0.91,5620.0,0.0886,80.338744,762.73938,Superterran,0.84,G,0.63065593,Hot,0,0.25085963,2.41015,6.3932195,0.0886
K2-225 b,15.87209,K2-225,-9.624804,11.836,1.27,5742.0,0.134,156.75798,901.47216,Neptunian,1.7,G,2.8147462,Hot,0,0.19939327,3.48631,11.96501,0.134
K2-226 b,3.27108,K2-226,-9.562642,12.308,0.88,5424.0,0.0413,376.48706,1122.2314,Superterran,0.91,G,0.64217021,Hot,0,0.28094751,1.53577,2.9746177,0.0413
K2-227 b,13.621832,K2-227,-8.478236,12.015,0.95,5673.0,0.10970871,61.071358,712.20383,Superterran,0.89,G,0.73505493,Hot,0,0.29303251,1.67029,3.4303813,0.10970871
K2-228 b,2.69828,K2-228,-6.834258,12.995,0.71,4715.0,0.0338,163.76035,911.37497,Terran,0.65,K,0.18708637,Hot,0,0.29823369,1.21068,1.9283813,0.0338
K2-229 b,0.58426,K2-229,-6.721861,10.985,0.87,5315.0,0.0131,2600.2393,1819.2745,Terran,0.79,G,0.44622706,Hot,0,0.29185453,1.14342,1.5711567,0.0131
K2-229 c,8.32727,K2-229,-6.721861,10.985,0.87,5315.0,0.0769,75.457641,750.88031,Superterran,0.79,G,0.44622706,Hot,0,0.27069342,2.02901,4.773015,0.0769
K2-230 b,2.86041,K2-230,-6.576109,12.707,1.11,5945.0,0.0409,1292.6444,1527.6177,Superterran,1.39,G,2.1623485,Hot,0,0.25758647,1.96175,4.5075054,0.0409
K2-231 b,13.841901,K2-231,-15.771108,12.708,1.01,5695.0,0.11317413,66.40739,727.27559,Superterran,0.95,G,0.85057139,Hot,0,0.2499369,2.49983,6.8023267,0.11317413
K2-232 b,11.168454,K2-232,18.654535,9.899,1.19,6154.0,0.10700668,166.88152,903.99869,Jovian,1.16,F,1.7291577,Hot,0,0.084700676,11.21,126.49555,0.10356
K2-233 b,2.46746,K2-233,-20.231684,10.726,0.8,4950.0,0.03317,267.72069,1030.5413,Terran,0.74,K,0.2945594,Hot,0,0.28827934,1.40125,2.5458987,0.03317
K2-233 c,7.06142,K2-233,-20.231684,10.726,0.8,4950.0,0.06687,65.873424,725.8092,Terran,0.74,K,0.2945594,Hot,0,0.30661806,1.33399,2.3419147,0.06687
K2-233 d,24.3662,K2-233,-20.231684,10.726,0.8,4950.0,0.1527,12.63266,480.30666,Neptunian,0.74,K,0.2945594,Hot,0,0.31740921,2.64556,7.4891982,0.1527
K2-239 b,5.24,K2-239,4.441349,14.549,0.4,3420.0,0.0441,8.1680971,430.70026,Terran,0.36,M,0.015885397,Hot,0,0.44615007,1.09858,1.3612778,0.0441
K2-239 c,7.775,K2-239,4.441349,14.549,0.4,3420.0,0.0576,4.7879886,376.86273,Terran,0.36,M,0.015885397,Hot,0,0.53722843,0.99769,0.96382171,0.0576
K2-239 d,10.115,K2-239,4.441349,14.549,0.4,3420.0,0.0685,3.3854541,345.58043,Terran,0.36,M,0.015885397,Hot,0,0.61393989,1.09858,1.3612778,0.0685
K2-24 b,20.88977,K2-24,-24.990332,11.07,1.07,5625.0,0.15206909,52.475672,685.23699,Neptunian,1.16,G,1.2069652,Hot,0,0.16349814,5.40322,18.999758,0.15179586
K2-24 c,42.3391,K2-24,-24.990332,11.07,1.07,5625.0,0.24370324,20.472186,541.42229,Jovian,1.16,G,1.2069652,Hot,0,0.1612087,7.49949,15.398767,0.24310762
K2-240 b,6.034,K2-240,-17.875217,13.392,0.58,3810.0,0.0513,20.91902,544.85413,Superterran,0.54,M,0.055052376,Hot,0,0.31579887,1.99538,4.6394796,0.0513
K2-240 c,20.523,K2-240,-17.875217,13.392,0.58,3810.0,0.1159,4.0983514,362.49098,Superterran,0.54,M,0.055052376,Hot,0,0.52478781,1.80481,3.9125102,0.1159
K2-241 b,26.8199,K2-241,-6.804924,11.97,0.71,5262.0,0.1567,15.735355,507.41587,Neptunian,0.75,K,0.38637992,Hot,0,0.30531849,2.54467,7.010777,0.1567
K2-242 b,6.51389,K2-242,-6.517851,16.588,0.38,3459.0,0.0494,7.1951598,417.25834,Neptunian,0.37,M,0.01755878,Hot,0,0.38300591,2.54467,7.010777,0.0494
K2-243 b,11.54182,K2-243,-4.899185,10.97,1.29,6570.0,0.1087,272.97359,1035.5595,Superterran,1.39,F,3.2253714,Hot,0,0.25087605,2.17474,5.369523,0.1087
K2-243 c,24.94598,K2-243,-4.899185,10.97,1.29,6570.0,0.1817,97.694445,800.96286,Superterran,1.39,F,3.2253714,Hot,0,0.26789041,2.00659,4.6838183,0.1817
K2-244 b,21.06884,K2-244,-3.831868,11.78,0.86,5677.0,0.1418,39.173053,637.37021,Superterran,0.92,G,0.78766197,Hot,0,0.3010327,1.74876,3.7084594,0.1418
K2-245 b,11.89307,K2-245,-1.590889,12.212,0.83,5793.0,0.0959,171.42951,921.86283,Neptunian,1.25,G,1.5766046,Hot,0,0.17295852,4.33827,17.34281,0.0959
K2-246 b,5.76918,K2-246,-1.16056,14.55,0.87,5610.0,0.0602,216.37288,977.11485,Neptunian,0.94,G,0.78414395,Hot,0,0.1972485,3.48631,11.96501,0.0602
K2-247 b,2.25021,K2-247,-10.069232,14.956,0.74,4667.0,0.0304,218.97315,980.03735,Superterran,0.69,K,0.20236623,Hot,0,0.25482622,2.11869,5.1366839,0.0304
K2-247 c,6.49424,K2-247,-10.069232,14.956,0.74,4667.0,0.0615,53.504191,689.03592,Superterran,0.69,K,0.20236623,Hot,0,0.26975244,2.18595,5.4165988,0.0615
K2-248 b,7.17256,K2-248,-9.414005,13.402,0.88,5528.0,0.0699,144.93794,883.97591,Neptunian,0.92,G,0.70816823,Hot,0,0.23652769,2.56709,7.1159697,0.0699
K2-249 b,12.409,K2-249,-8.995114,11.827,1.32,6504.0,0.1151,298.30425,1058.7898,Neptunian,1.57,F,3.9519376,Hot,0,0.22221051,2.79129,8.2029943,0.1151
K2-25 b,3.484552,K2-25,15.247763,15.881,0.29,3180.0,0.03085237,9.0312835,435.46647,Neptunian,0.29,M,0.007705363,Hot,0,0.31373637,3.43026,11.640251,0.02976735
K2-250 b,4.01457,K2-250,-8.975785,14.267,0.8,5172.0,0.0459,199.64911,957.6609,Superterran,0.81,K,0.42062274,Hot,0,0.23976038,2.44378,6.5454121,0.0459
K2-251 b,9.30075,K2-251,-8.53592,15.621,0.52,3717.0,0.0694,8.5257405,435.33936,Superterran,0.49,M,0.041063036,Hot,0,0.37264327,2.3541,6.1428456,0.0694
K2-252 b,13.81513,K2-252,-8.30952,12.847,0.79,5152.0,0.1041,39.16682,637.34486,Superterran,0.82,K,0.42444338,Hot,0,0.30161559,1.73755,3.6681895,0.1041
K2-253 b,4.00167,K2-253,-6.378884,14.868,1.08,6027.0,0.0506,558.69881,1238.6236,Jovian,1.1,F,1.4304701,Hot,0,0.072204094,12.6673,106.95893,0.0506
K2-254 b,4.09639,K2-254,-4.717236,14.183,0.71,4629.0,0.0448,92.009135,789.04659,Superterran,0.67,K,0.18466601,Hot,0,0.28788787,1.62545,3.2754986,0.0448
K2-254 c,12.11839,K2-254,-4.717236,14.183,0.71,4629.0,0.0923,21.676221,549.71907,Superterran,0.67,K,0.18466601,Hot,0,0.30359923,2.18595,5.4165988,0.0923
K2-255 b,1.96417,K2-255,-3.370542,13.756,0.71,4676.0,0.0274,271.63374,1034.2865,Neptunian,0.69,K,0.20393175,Hot,0,0.21796417,2.90339,8.7701168,0.0274
K2-256 b,5.52011,K2-256,-2.065931,14.939,0.84,5219.0,0.0578,121.05183,845.0604,Neptunian,0.78,K,0.4044148,Hot,0,0.23523816,2.63435,7.4354,0.0578
K2-257 b,1.60588,K2-257,-1.953159,13.716,0.52,3725.0,0.0216,92.432832,789.9534,Terran,0.5,M,0.043125462,Hot,0,0.30490019,0.82954,0.49738312,0.0216
K2-258 b,19.0921,K2-258,-1.16092,13.298,1.21,6351.0,0.149,112.67489,830.04511,Neptunian,1.31,F,2.5014953,Hot,0,0.2203667,3.00428,9.2937756,0.149
K2-259 b,15.48043,K2-259,1.566849,12.536,1.14,6059.0,0.1271,95.446112,796.31422,Superterran,1.13,F,1.5418756,Hot,0,0.25263732,2.32047,5.9945993,0.1271
K2-26 b,14.5665,K2-26,24.596411,14.53,0.56,3785.0,0.0962,5.3728996,387.87974,Neptunian,0.52,M,0.049723177,Hot,0,0.41792615,2.66798,7.5972714,0.0962
K2-261 b,11.63344,K2-261,0.493352,10.612,1.1,5537.0,0.1097571,239.32164,971.90935,Jovian,1.65,G,2.2927391,Hot,0,0.094575045,9.5285,70.875645,0.102
K2-263 b,50.818947,K2-263,15.680626,11.606,0.88,5368.0,0.25982154,8.1996498,429.52093,Neptunian,0.85,G,0.5374976,Hot,0,0.37411723,2.41015,14.80125,0.2573
K2-264 b,5.840002,K2-264,19.698462,15.318,0.5,3660.0,0.05023,14.0761,493.47539,Superterran,0.47,M,0.035514745,Hot,0,0.33014708,2.23079,5.6065874,0.05023
K2-264 c,19.660302,K2-264,19.698462,15.318,0.5,3660.0,0.11283,2.789713,329.25683,Neptunian,0.47,M,0.035514745,Hot,0,0.53641913,2.66798,7.5972714,0.11283
K2-265 b,2.369172,K2-265,-14.494689,11.102,0.92,5477.0,0.033879105,681.78039,1300.1089,Superterran,0.98,G,0.77430446,Hot,0,0.27078026,1.71513,6.5409003,0.03376
K2-266 b,0.658524,K2-266,0.937571,11.808,0.69,4285.0,0.01306,867.7641,1382.7553,Neptunian,0.7,K,0.14800897,Hot,0,0.19968494,3.29574,11.267003,0.01306
K2-266 c,7.814,K2-266,0.937571,11.808,0.69,4285.0,0.067959888,32.131564,606.36497,Subterran,0.7,K,0.14800897,Hot,0,0.32451597,0.70623,0.28922348,0.0679
K2-266 d,14.697,K2-266,0.937571,11.808,0.69,4285.0,0.10361432,13.832082,491.11901,Neptunian,0.7,K,0.14800897,Hot,0,0.2967443,2.92581,8.8991841,0.1035
K2-266 e,19.482,K2-266,0.937571,11.808,0.69,4285.0,0.12501547,9.4965319,447.08024,Neptunian,0.7,K,0.14800897,Hot,0,0.34005981,2.73524,14.299082,0.1249
K2-268 b,2.151894,K2-268,11.848265,13.853,0.84,5068.0,0.0308,379.07299,1124.1535,Terran,0.78,K,0.3596038,Hot,0,0.28630036,1.41246,2.5805743,0.0308
K2-268 c,9.326841,K2-268,11.848265,13.853,0.84,5068.0,0.0819,53.611317,689.38055,Neptunian,0.78,K,0.3596038,Hot,0,0.24570923,2.6904,7.7059808,0.0819
K2-269 b,4.144965,K2-269,13.014676,11.784,1.16,6209.0,0.0531,992.93827,1430.1299,Superterran,1.45,F,2.7996987,Hot,0,0.27712733,1.5694,3.086051,0.0531
K2-27 b,6.771315,K2-27,1.230738,12.64,0.87,5248.0,0.069131164,123.8128,839.58401,Neptunian,0.89,K,0.53832428,Hot,0,0.17180369,4.484,30.899238,0.06702
K2-270 b,1.543069,K2-270,13.549833,13.782,0.85,4877.0,0.0247,492.59184,1200.2362,Terran,0.77,K,0.30052536,Hot,0,0.28681235,1.37883,2.4771268,0.0247
K2-270 c,4.400028,K2-270,13.549833,13.782,0.85,4877.0,0.0497,121.66575,846.12981,Neptunian,0.77,K,0.30052536,Hot,0,0.22181502,2.94823,9.0013132,0.0497
K2-271 b,8.562421,K2-271,16.090946,13.827,0.83,5644.0,0.077,150.28845,892.02353,Jovian,0.99,G,0.89106022,Hot,0,0.12000589,7.27529,41.718746,0.077
K2-272 b,14.453533,K2-272,17.542444,13.841,0.81,5419.0,0.1081,43.379436,653.83157,Neptunian,0.81,G,0.50691517,Hot,0,0.24134653,2.9146,8.8276834,0.1081
K2-273 b,11.716332,K2-273,19.010023,13.371,0.9,5200.0,0.0974,48.723971,673.10153,Neptunian,0.84,K,0.46223262,Hot,0,0.18788862,4.41674,17.878754,0.0974
K2-274 b,14.129714,K2-274,20.399372,13.086,0.81,5065.0,0.1064,28.522437,588.76443,Superterran,0.74,K,0.32290137,Hot,0,0.28960993,2.19716,5.4638433,0.1064
K2-275 b,3.280961,K2-275,20.455076,12.063,0.79,4812.0,0.04,159.99885,906.09581,Superterran,0.73,K,0.25599816,Hot,0,0.25097644,2.242,5.6545043,0.04
K2-275 c,8.438756,K2-275,20.455076,12.063,0.79,4812.0,0.075,45.510784,661.71882,Superterran,0.73,K,0.25599816,Hot,0,0.26609856,2.34289,6.0932651,0.075
K2-276 b,18.718269,K2-276,22.634024,14.627,0.82,5139.0,0.1291,27.08872,581.22198,Neptunian,0.85,K,0.45148255,Hot,0,0.22555184,3.76656,13.643414,0.1291
K2-277 b,6.326763,K2-277,-15.93782,10.364,1.02,5741.0,0.0675,200.99014,959.265,Superterran,0.97,G,0.91576133,Hot,0,0.25759156,2.07385,4.9534779,0.0675
K2-278 b,3.334966,K2-278,-14.504056,13.412,1.4,6747.0,0.0488,2020.8943,1708.1689,Neptunian,1.61,F,4.8126385,Hot,0,0.21077571,2.98186,9.1763296,0.0488
K2-279 b,7.122605,K2-279,-6.041594,11.491,0.79,5558.0,0.067,140.86727,877.70271,Terran,0.86,G,0.6323532,Hot,0,0.29961238,1.21068,1.9283813,0.067
K2-28 b,2.260455,K2-28,-7.955366,16.061,0.26,3214.0,0.0214,17.556607,521.50089,Superterran,0.29,M,0.008040224,Hot,0,0.30927379,2.32047,5.9945993,0.0214
K2-280 b,19.895202,K2-280,-22.247662,12.536,1.11,5742.0,0.1488,72.070158,742.30738,Jovian,1.28,G,1.5957371,Hot,0,0.1231411,7.66764,45.610023,0.1488
K2-281 b,8.687721,K2-281,7.269234,15.117,0.82,4812.0,0.0773,46.436483,665.05833,Jovian,0.76,K,0.27747145,Hot,0,0.12555388,8.1833,50.939114,0.0773
K2-283 b,1.921036,K2-283,9.692924,14.445,0.89,5060.0,0.0291,466.37197,1183.9354,Neptunian,0.82,K,0.39492845,Hot,0,0.19306625,3.51994,12.161625,0.0291
K2-284 b,4.795069,K2-284,20.255108,13.322,0.63,4140.0,0.047855134,43.157473,652.24715,Neptunian,0.61,K,0.09793765,Hot,0,0.24726388,2.78008,8.1471405,0.04771
K2-285 b,3.471745,K2-285,1.30029,12.03,0.83,4975.0,0.03817,235.10986,997.6142,Neptunian,0.79,K,0.34254306,Hot,0,0.23213908,2.58951,9.681041,0.03817
K2-285 c,7.138048,K2-285,1.30029,12.03,0.83,4975.0,0.0824,50.449951,678.98487,Neptunian,0.79,K,0.34254306,Hot,0,0.2139301,3.53115,15.678455,0.0824
K2-285 d,10.45582,K2-285,1.30029,12.03,0.83,4975.0,0.1178,24.684514,567.87279,Superterran,0.79,K,0.34254306,Hot,0,0.28207488,2.47741,6.4995827,0.1178
K2-285 e,14.76289,K2-285,1.30029,12.03,0.83,4975.0,0.18041,10.524318,458.87394,Neptunian,0.79,K,0.34254306,Hot,0,0.37277921,1.95054,10.701269,0.18041
K2-286 b,27.359,K2-286,-16.773256,12.763,0.64,3926.0,0.1768,2.6176326,324.0575,Superterran,0.62,M,0.081822587,Hot,0,0.5966982,2.09627,5.0447392,0.1768
K2-287 b,14.893291,K2-287,-22.358261,11.41,1.06,5695.0,0.13437759,84.462519,736.38798,Jovian,1.07,G,1.079024,Hot,0,0.10308263,9.49487,100.11582,0.1206
K2-288 B b,31.393463,K2-288 B,18.268902,13.868,0.33,3341.0,0.164,0.4250175,205.70584,Superterran,0.32,M,0.011431271,Warm,2,0.63947201,1.9057,4.2910395,0.164
K2-289 b,13.156969,K2-289,-15.792386,14.465,0.95,5529.0,0.107,76.086533,752.43997,Jovian,1.02,G,0.87111471,Hot,0,0.10780192,9.10252,61.030331,0.107
K2-290 b,9.21165,K2-290,-20.198818,11.114,1.19,6302.0,0.0923,378.22718,1123.5259,Neptunian,1.51,F,3.222227,Hot,0,0.21039111,3.06033,10.901501,0.0923
K2-291 b,2.225177,K2-291,21.54863,10.014,0.93,5520.0,0.03261,633.61927,1278.2094,Superterran,0.9,G,0.6737984,Hot,0,0.2768656,1.59182,6.4900478,0.03261
K2-293 b,13.1225,K2-293,-6.027876,13.357,0.96,5532.0,0.10738518,65.671332,725.25188,Superterran,0.95,G,0.75729405,Hot,0,0.25225269,2.45499,6.5964694,0.10738518
K2-294 b,2.50387,K2-294,-7.60369,12.502,0.99,5612.0,0.035958022,989.76067,1428.9843,Superterran,1.2,G,1.2797401,Hot,0,0.27288192,1.65908,3.3913851,0.035958022
K2-295 b,4.024867,K2-295,6.816871,13.946,0.74,4444.0,0.0451,84.183668,771.70599,Jovian,0.7,K,0.17123042,Hot,0,0.09874913,10.05537,106.47238,0.0451
K2-3 b,10.05449,K2-3,-1.454787,12.17,0.6,3896.0,0.0769,10.946816,463.41156,Superterran,0.56,M,0.0647352,Hot,0,0.35574521,2.17474,5.369523,0.0769
K2-3 c,24.64354,K2-3,-1.454787,12.17,0.6,3896.0,0.1399,3.3075397,343.5747,Superterran,0.56,M,0.0647352,Hot,0,0.5664846,1.84965,4.0789714,0.1399
K2-3 d,44.55983,K2-3,-1.454787,12.17,0.6,3896.0,0.2076,1.5020549,282.04367,Superterran,0.56,M,0.0647352,Warm,2,0.79753887,1.51335,2.9012671,0.2076
K2-34 b,2.995633,K2-34,22.235909,11.548,1.15,6071.0,0.0426,1390.7061,1555.7999,Jovian,1.44,F,2.5237978,Hot,0,0.065236353,13.95645,126.08944,0.0426
K2-35 b,5.608352,K2-35,1.285956,14.35,0.7,4402.71,0.055396,43.090012,650.96746,Superterran,0.62,K,0.12940538,Hot,0,0.28873254,1.92812,4.3771005,0.055
K2-35 c,2.399964,K2-35,1.285956,14.35,0.7,4402.71,0.03126195,135.80949,866.94455,Terran,0.62,K,0.12940538,Hot,0,0.29633581,1.32278,2.3086002,0.031
K2-36 b,1.422614,K2-36,3.866393,11.8,0.79,4916.0,0.0223,545.4958,1231.2401,Terran,0.72,K,0.27126961,Hot,0,0.28425092,1.43488,3.8997496,0.0223
K2-36 c,5.340888,K2-36,3.866393,11.8,0.79,4916.0,0.054,93.027985,791.22193,Neptunian,0.72,K,0.27126961,Hot,0,0.21524648,3.19485,7.7994992,0.054
K2-37 b,4.44117,K2-37,-24.787062,12.52,0.9,5413.0,0.0511,212.83194,973.09247,Superterran,0.85,G,0.55574889,Hot,0,0.28007395,1.61424,3.2372384,0.0511
K2-37 c,6.42904,K2-37,-24.787062,12.52,0.9,5413.0,0.0654,129.93409,860.15296,Neptunian,0.85,G,0.55574889,Hot,0,0.22961376,2.74645,7.9805236,0.0654
K2-37 d,14.09189,K2-37,-24.787062,12.52,0.9,5413.0,0.1103,45.680156,662.33363,Neptunian,0.85,G,0.55574889,Hot,0,0.24768313,2.73524,7.9252992,0.1103
K2-38 b,4.01593,K2-38,-23.189287,11.39,2.24,5757.0,0.064681932,447.98737,1172.0911,Neptunian,1.38,G,1.8742682,Hot,0,0.26234618,1.9057,19.06968,0.064681932
K2-38 c,10.56103,K2-38,-23.189287,11.39,2.24,5757.0,0.0964,201.68689,960.09526,Superterran,1.38,G,1.8742682,Hot,0,0.24074034,2.42136,9.9003423,0.0964
K2-39 b,4.60543,K2-39,-9.022769,10.83,0.66,4881.0,0.047156075,2017.2581,1707.4,Jovian,2.97,K,4.4857677,Hot,0,0.12709936,6.2776,28.60452,0.047156075
K2-4 b,10.003417,K2-4,-3.905585,14.907,0.64,4014.73,0.0782496,12.470065,478.17791,Superterran,0.57,K,0.075624711,Hot,0,0.3479071,2.09627,5.0447392,0.078
K2-42 b,6.68796,K2-42,-5.171913,15.023,0.7,4613.0,0.0617,43.652798,654.8592,Superterran,0.64,K,0.1661814,Hot,0,0.27679519,2.15232,5.2758784,0.0617
K2-43 b,3.471149,K2-43,-3.97544,15.596,0.57,3840.6,0.03719204,41.093437,645.04205,Neptunian,0.54,M,0.056842409,Hot,0,0.18983667,4.50642,18.499443,0.03719204
K2-43 c,2.198884,K2-43,-3.97544,15.596,0.57,3840.6,0.027432752,75.532477,751.06641,Superterran,0.54,M,0.056842409,Hot,0,0.25133268,2.42136,6.4437871,0.027432752
K2-44 b,5.65688,K2-44,-2.520881,12.189,1.15,5912.0,0.0651,644.73099,1283.7769,Neptunian,1.58,G,2.7323764,Hot,0,0.2227821,2.72403,7.8702326,0.0651
K2-45 b,1.7292684,K2-45,-1.77413,15.78,0.5,4103.0,0.0224,102.47636,810.58924,Jovian,0.45,K,0.05141854,Hot,0,0.13096625,6.71479,36.409752,0.0224
K2-46 b,19.1541,K2-46,-0.907261,12.029,0.96,6256.0,0.13821,119.5573,842.43991,Superterran,1.29,F,2.283784,Hot,0,0.26317433,2.05143,4.8629026,0.13821
K2-47 b,31.6372,K2-47,2.780711,14.085,0.75,5054.0,0.1779,10.668537,460.43797,Superterran,0.76,K,0.33764225,Hot,0,0.37466933,1.89449,4.2482729,0.1779
K2-48 b,20.5065,K2-48,3.272425,14.277,0.77,4899.0,0.1344,15.22529,503.25292,Superterran,0.73,K,0.2750199,Hot,0,0.32345416,2.242,5.6545043,0.1344
